title,price,location,url,image_url
Toyota land cruiser 105. Экспедиционный. Баки на 280 литров.,699 396 082 сум,N/A,https://www.olx.uz/d/obyavlenie/toyota-land-cruiser-105-ekspeditsionnyy-baki-na-280-litrov-ID3nA4U.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/jd85ntvexhw1-UZ/image;s=216x152;q=50
Sotiladi Nexia 3 Ravon 2020 benzin 4 avtomat idealniy naxadu,122 076 407 сум,N/A,https://www.olx.uz/d/obyavlenie/sotiladi-nexia-3-ravon-2020-benzin-4-avtomat-idealniy-naxadu-ID44vMu.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/r1ue6vlh0izr2-UZ/image;s=216x152;q=50
Turbo Onix Primer 2 Люк Chevrolet автомобиль автомат,175 484 835 сумДоговорная,N/A,https://www.olx.uz/d/obyavlenie/turbo-onix-primer-2-lyuk-chevrolet-avtomobil-avtomat-ID3Qrtd.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wmghl0sjfxf81-UZ/image;s=216x152;q=50
